"CODICE";"CATEGORIA";"SOTTOCATEGORIA";"OPERAZIONE";"FREQ_DESCRIZIONE";"NORMATIVA";"QUANTITA";"NOTE"
"25";"Elettrico";"Via Erlembaldo 4D";"Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"861";"REALE (da Matrice)"
"25";"Elettrico";"Via Erlembaldo 4D";"Verifiche locali uso medico";"Periodica";"Normativa vigente";"2";"REALE (da Matrice)"
"25";"Elettrico";"Via Erlembaldo 4D";"Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"861";"REALE (da Matrice)"
"25";"Idrico";"Via Erlembaldo 4D";"Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"861";"REALE (da Matrice)"
"25";"Idrico";"Via Erlembaldo 4D";"Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"2";"REALE (da Matrice)"
"30";"Elettrico";"Via Fantoli 7 Consultorio";"Distribuzione elettrica, quadri, ecc.";"Periodica";"Normativa vigente";"601";"REALE (da Matrice)"
"30";"Elettrico";"Via Fantoli 7 Consultorio";"Verifiche impianti di terra e protezione scariche atmosferiche";"Periodica";"Normativa vigente";"601";"REALE (da Matrice)"
"30";"Idrico";"Via Fantoli 7 Consultorio";"Distribuzione idrico sanitaria";"Periodica";"Normativa vigente";"601";"REALE (da Matrice)"
"30";"Idrico";"Via Fantoli 7 Consultorio";"Prove della legionella della rete idrico-sanitaria";"Periodica";"Normativa vigente";"2";"REALE (da Matrice)"
"30";"Antincendio";"Via Fantoli 7 Consultorio";"Porte tagliafuoco";"Periodica";"Normativa vigente";"4";"REALE (da Matrice)"
"30";"Antincendio";"Via Fantoli 7 Consultorio";"Estintori";"Periodica";"Normativa vigente";"12";"REALE (da Matrice)"
"30";"Antincendio";"Via Fantoli 7 Consultorio";"Rete idrica e terminali";"Periodica";"Normativa vigente";"3";"REALE (da Matrice)"
